Table S1- Differentially expressed genes for CHD8-A and CHD8-B human derived neurons compared to the isogenic control. 									
gene	baseMean_CHD8KO_lineA	log2FoldChange_CHD8KO_lineA	lfcSE_CHD8KO_lineA	pvalue_CHD8KO_lineA	log2FoldChange_CHD8KO_lineB	lfcSE_CHD8KO_lineB	pvalue_CHD8KO_lineB	padj_CHD8KO_lineB	meanLFC_bothLines
CBX5	1321.266501	0.363748212	0.121092939	0.002665637	0.341135089	0.121467662	0.004978159	0.070571329	0.35244165
CCDC152	40.79897565	-2.012079727	0.283195848	1.20E-12	1.363523968	0.247910246	3.80E-08	4.46E-06	-0.32427788
CCDC82	115.9850606	0.514773276	0.174345288	0.003151019	0.545646838	0.176324058	0.001970996	0.036294766	0.530210057
CCNB1	127.8812295	-0.80264018	0.186506899	1.68E-05	-0.699637095	0.188183003	0.000200922	0.006385876	-0.751138638
CCNB1IP1	75.97992504	-0.787208838	0.216548541	0.000277707	-0.599830443	0.217895689	0.005908203	0.079948723	-0.69351964
CCNB2	15.21293622	-0.890409023	0.297417207	0.002755223	-0.803871495	0.299935228	0.007358911	0.093091263	-0.847140259
CCNG1	155.3615265	-0.518190249	0.168071308	0.00204817	-0.479028971	0.170032958	0.00484336	0.068988907	-0.49860961
CCNY	58.26823713	-1.006607057	0.211497475	1.94E-06	-0.971470499	0.215188151	6.35E-06	0.000358717	-0.989038778
CCP110	118.4523742	0.649085039	0.178774428	0.0002826	0.548707888	0.181336244	0.002478828	0.042793765	0.598896463
CD200	183.2083994	1.049030602	0.165535566	2.34E-10	0.960546684	0.167306463	9.40E-09	1.29E-06	1.004788643
CD24	3444.076412	0.247559565	0.090836686	0.006423806	0.282257233	0.091015905	0.001927473	0.035763222	0.264908399
CD81	40.37624451	-0.892509062	0.2348148	0.000144168	-0.761845791	0.237513727	0.001338539	0.027231181	-0.827177427
CD9	13.49001387	-1.251293542	0.307053074	4.60E-05	-0.913350934	0.307186761	0.002946397	0.048617174	-1.082322238
CDH6	167.3754986	-0.933178481	0.146452086	1.87E-10	-1.123556411	0.150879106	9.57E-14	3.72E-11	-1.028367446
CDK6	68.10950209	-1.347760433	0.212110041	2.10E-10	-1.275052203	0.215251415	3.15E-09	5.31E-07	-1.311406318
CDKN1C	89.24516086	-0.575282161	0.195016334	0.003178585	-0.611543942	0.198248513	0.002037342	0.037133681	-0.593413051
CDO1	108.5934847	-0.996031738	0.180467877	3.41E-08	-0.657730822	0.180672793	0.000272159	0.008075248	-0.82688128
CDS2	94.3214258	0.947044569	0.199880588	2.16E-06	0.902975613	0.202087041	7.89E-06	0.000421745	0.925010091
CENPF	106.7577436	-0.620344312	0.221257952	0.005051749	-0.702545735	0.223531017	0.001672572	0.032124164	-0.661445024
CENPK	31.93704589	-0.693807054	0.253702127	0.006243129	-0.73464101	0.258012313	0.004409042	0.064605003	-0.714224032
CENPN	94.2501071	-0.507785605	0.188363727	0.007022578	-0.511681548	0.191227873	0.007455809	0.094034851	-0.509733577
CENPW	98.19099879	-0.720917457	0.194734705	0.000213865	-0.552851972	0.196187494	0.004832718	0.068947285	-0.636884714
CHGB	49.80547594	1.154885458	0.238162218	1.24E-06	1.007233898	0.241410509	3.02E-05	0.001294813	1.081059678
CHN1	150.2851724	-0.937373443	0.161104925	5.94E-09	-0.967284593	0.164048466	3.72E-09	6.04E-07	-0.952329018
CKB	132.9893564	-1.151464133	0.162255049	1.28E-12	-0.985010527	0.16398098	1.89E-09	3.31E-07	-1.06823733
CKS1B	247.5855161	-1.002698947	0.165050214	1.24E-09	-0.751283914	0.165561574	5.68E-06	0.000323373	-0.876991431
CKS2	338.5852312	-1.050099269	0.148596542	1.59E-12	-0.960179896	0.149692665	1.41E-10	3.32E-08	-1.005139582
CLASP2	270.3618284	0.553082351	0.157523628	0.000446244	0.705604893	0.158182596	8.17E-06	0.000431256	0.629343622
CLCN3	180.921092	0.466251591	0.156061539	0.002811647	0.421042284	0.157977041	0.007693983	0.095769898	0.443646938
CNIH4	232.1261617	-0.590610241	0.138723595	2.07E-05	-0.515303527	0.140301444	0.000239878	0.007336813	-0.552956884
CNR1	105.4298509	0.655882219	0.191458017	0.000613164	1.07336538	0.19118078	1.97E-08	2.41E-06	0.864623799
CNRIP1	37.6377843	0.835994041	0.259285546	0.001263156	0.868993015	0.261451632	0.000888241	0.019931864	0.852493528
CNST	225.8856383	-1.094405476	0.139943563	5.27E-15	-0.745436758	0.140041085	1.02E-07	1.05E-05	-0.919921117
CNTN1	77.30038127	1.173020279	0.220201026	9.98E-08	1.227210618	0.221810369	3.15E-08	3.76E-06	1.200115448
CNTN2	49.69774646	-0.598609626	0.22742206	0.008484568	-0.726411474	0.232211889	0.001758644	0.033417971	-0.66251055
CNTNAP2	167.0943079	1.018429703	0.162766783	3.92E-10	0.932824729	0.164732229	1.49E-08	1.90E-06	0.975627216
CNTNAP4	11.18444099	1.175291581	0.314886122	0.000189639	0.8984576	0.316873294	0.004577057	0.066145144	1.036874591
COA1	272.6944144	-0.435845667	0.127204565	0.000611782	-0.390878943	0.128816023	0.002410171	0.041877894	-0.413362305
COMMD10	89.77901404	-0.708655982	0.20082787	0.000417648	-0.660828462	0.203251163	0.001148826	0.024194935	-0.684742222
COX6B1	1011.403352	-0.544647995	0.149035671	0.000257703	-0.476117874	0.14938173	0.001436294	0.028696959	-0.510382935
CPNE8	27.88619086	1.549230196	0.283232235	4.50E-08	1.49390179	0.285487034	1.67E-07	1.60E-05	1.521565993
CPVL	38.61989137	-1.170493647	0.246645795	2.08E-06	-0.918907076	0.247867272	0.000209518	0.00663549	-1.044700361
CRABP1	53.13040192	1.601289021	0.255108984	3.45E-10	1.902333335	0.255416743	9.48E-14	3.72E-11	1.751811178
CRIM1	98.1731831	1.025267023	0.186153649	3.64E-08	0.802031861	0.189639178	2.34E-05	0.001068392	0.913649442
CSE1L	118.2746931	-0.703258892	0.170106692	3.56E-05	-0.719274739	0.173163467	3.27E-05	0.00139109	-0.711266816
CSNK2A1	38.24734995	0.893400519	0.266724538	0.000809502	1.050666928	0.267901378	8.79E-05	0.003216424	0.972033724
CSTF1	54.8590348	-0.891966946	0.213565471	2.96E-05	-0.700185826	0.215429411	0.001153292	0.024194935	-0.796076386
CTNNA1	126.7369458	-0.681756214	0.178200827	0.000130361	-0.708689391	0.180933178	8.97E-05	0.003256944	-0.695222803
CTNND2	33.32126494	0.667803864	0.263426668	0.011242629	0.909645601	0.264282331	0.000577545	0.014527051	0.788724732
CTSV	41.92784066	-0.968699685	0.256574939	0.000159685	-0.699511607	0.257359945	0.006567223	0.086126087	-0.834105646
CXADR	636.178734	1.072292796	0.115442935	1.56E-20	0.908276392	0.116450397	6.21E-15	3.46E-12	0.990284594
CXCR4	156.0481293	-1.061816984	0.186150275	1.17E-08	-1.334423144	0.190136709	2.25E-12	6.92E-10	-1.198120064
CYB5B	443.0158398	-0.394524906	0.115655395	0.000646751	-0.389985239	0.116928063	0.000852203	0.019268427	-0.392255073
CYP51A1	1994.771153	-0.293468097	0.091624781	0.001360353	-0.340347354	0.092057306	0.000218055	0.00676198	-0.316907726
DACH1	138.7252365	0.520183753	0.19488556	0.007603772	0.525357577	0.196369537	0.007465089	0.094034851	0.522770665
DACH2	29.18307377	1.211489374	0.289059205	2.78E-05	1.301170542	0.290335781	7.41E-06	0.000400994	1.256329958
DAD1	670.293779	-0.516977527	0.125644349	3.88E-05	-0.373268273	0.126130563	0.003082587	0.050055603	-0.4451229
DAZAP2	205.250229	-0.460960267	0.140089602	0.001000211	-0.604800613	0.143138958	2.39E-05	0.001081945	-0.53288044
DBI	895.7794402	-0.584646233	0.112123702	1.85E-07	-0.64300829	0.112958086	1.25E-08	1.67E-06	-0.613827261
DCAF13	184.45428	-0.69095444	0.162154221	2.03E-05	-0.430199516	0.16273477	0.008203865	0.09982114	-0.560576978
DCBLD2	123.9424661	1.030903219	0.193964209	1.07E-07	0.761234676	0.196737959	0.000109156	0.003838089	0.896068947
DCLK1	131.6061176	0.667610761	0.176612798	0.000156777	0.829630112	0.177638207	3.01E-06	0.000186501	0.748620437
DDX21	131.1926977	-0.842663628	0.182619632	3.94E-06	-0.628863712	0.183619117	0.000615191	0.015028647	-0.73576367
DIAPH2	46.68904249	-1.251294288	0.252611501	7.29E-07	-0.990286967	0.253513981	9.37E-05	0.003375868	-1.120790628
DIDO1	18.68429541	-0.880392852	0.287220482	0.002175128	-0.939796174	0.291460609	0.001262209	0.02579586	-0.910094513
DKC1	86.22981879	-0.725001821	0.18341124	7.72E-05	-0.612800273	0.185773819	0.000971557	0.021371857	-0.668901047
DLGAP5	52.60883201	-0.667795121	0.2258336	0.003106251	-0.813949701	0.230757859	0.000419838	0.011481174	-0.740872411
DLL3	71.14000976	-1.017260395	0.212288944	1.65E-06	-0.904757548	0.214649514	2.50E-05	0.001115158	-0.961008972
DNAJC15	262.7798923	-0.449479194	0.159433447	0.004813935	-0.467641815	0.160915441	0.003659248	0.057134174	-0.458560505
DNER	22.3030602	0.76440238	0.285551459	0.007429929	0.854325381	0.28737556	0.002950454	0.048617174	0.80936388
DNM3	33.99570695	1.337546474	0.272319544	9.03E-07	1.35048315	0.274309206	8.51E-07	6.26E-05	1.344014812
DNMT3B	29.80042165	-1.134890935	0.254147653	7.99E-06	-0.80580724	0.254493864	0.001543846	0.030170863	-0.970349088
DPH6	17.14299618	-0.876094965	0.29768573	0.003250277	-0.962019946	0.301278166	0.001407402	0.028309706	-0.919057456
DPM1	138.1404612	-0.856682444	0.174403263	9.01E-07	-0.793500354	0.176488371	6.92E-06	0.000386421	-0.825091399
DPPA4	194.2428592	-0.828157289	0.18792612	1.05E-05	-0.843354757	0.189583151	8.65E-06	0.000450835	-0.835756023
DSTN	206.1997957	0.810511356	0.174221905	3.28E-06	0.750374056	0.175626515	1.93E-05	0.000908355	0.780442706
DTD1	21.01789129	0.771248024	0.287755068	0.007357292	0.876449347	0.289485454	0.002464952	0.042663726	0.823848686
DUSP18	8.894890826	0.837432829	0.318461112	0.008547947	0.877726307	0.319051866	0.005940533	0.080143356	0.857579568
DYNLRB1	253.9353228	-0.508682278	0.146183541	0.000501881	-0.481365023	0.147745017	0.001121689	0.023858598	-0.495023651
DZIP3	175.9749794	0.699884537	0.178898046	9.15E-05	0.617229395	0.180566604	0.000630154	0.015293231	0.658556966
ECI2	68.20191489	-0.735534864	0.210102987	0.000463811	-0.658730062	0.212691284	0.001954119	0.036058339	-0.697132463
EDA2R	13.11470198	-1.081206616	0.307495092	0.000437812	-1.257608664	0.311341462	5.36E-05	0.002095818	-1.16940764
EIF2B3	129.6304568	-0.601674964	0.160524373	0.000178119	-0.567840688	0.163097837	0.000498436	0.013170215	-0.584757826
EIF2S2	213.8408042	-0.884089499	0.17771862	6.54E-07	-0.541472158	0.177833812	0.002328187	0.040850761	-0.712780828
EIF2S3	1745.377745	-0.279747607	0.089376639	0.001748148	-0.320606311	0.089874897	0.000360746	0.010099756	-0.300176959
EIF3E	863.0528139	-0.586754733	0.144297993	4.78E-05	-0.61873268	0.144877681	1.95E-05	0.00091105	-0.602743707
EIF3K	485.0944056	-0.62782676	0.142393561	1.04E-05	-0.547678136	0.143142322	0.000130185	0.004416217	-0.587752448
EIF4EBP2	283.1885952	0.412772942	0.137555168	0.002692881	0.428349407	0.138828495	0.002032393	0.037133681	0.420561174
ENO1	248.8758915	-0.690965035	0.150003683	4.10E-06	-0.559612897	0.151099356	0.000212554	0.006660012	-0.625288966
ENO2	49.23375441	1.1196728	0.239921359	3.06E-06	1.282134766	0.24121059	1.06E-07	1.07E-05	1.200903783
ENO3	10.43002565	-0.947876415	0.316524311	0.002747688	-0.925785655	0.317869857	0.003585854	0.056188768	-0.936831035
ERC2	47.65189581	0.681967139	0.233676866	0.003518106	0.765682477	0.235739846	0.001162202	0.024194935	0.723824808
ESRG	62.22229627	-1.416054157	0.210818237	1.86E-11	-1.013340627	0.210295164	1.45E-06	0.000101635	-1.214697392
ETNK1	258.5736077	0.524622887	0.140399873	0.0001865	0.407505849	0.142240686	0.004171363	0.062444128	0.466064368
EXTL2	91.22279447	-0.550155912	0.182852255	0.002623287	-0.550978538	0.18601704	0.003056688	0.049748374	-0.550567225
EZR	172.4335263	-1.12925584	0.183861453	8.15E-10	-1.386526512	0.187522548	1.43E-13	5.31E-11	-1.257891176
FABP3	191.4456209	-1.109307136	0.185708414	2.32E-09	-0.929105736	0.186610112	6.40E-07	5.01E-05	-1.019206436
FABP7	47.87692988	-0.98994449	0.229079647	1.55E-05	-1.172599249	0.235232293	6.20E-07	4.94E-05	-1.08127187
FAM102B	41.98295308	-0.798273732	0.229228329	0.000496868	-0.66309206	0.231855837	0.004237311	0.062980845	-0.730682896
FAM110B	29.5715677	0.874264494	0.264493216	0.000948299	0.847640578	0.2674185	0.001525882	0.02995136	0.860952536
FAM115A	283.0532554	0.540983064	0.148276098	0.000263792	0.493391298	0.149611338	0.000974385	0.021381404	0.517187181
FAM122B	160.2004907	-1.902617769	0.168003139	9.88E-30	-0.704255117	0.161061808	1.23E-05	0.00061264	-1.303436443
FAM126A	46.31751192	-0.659384482	0.232054322	0.004490056	-0.920851578	0.238521637	0.00011308	0.003960458	-0.79011803
FAM60A	186.075744	-0.440852446	0.16196711	0.006491485	-0.625404464	0.164886573	0.000148876	0.004906304	-0.533128455
FAXC	36.13998217	0.926492537	0.267702821	0.000538374	1.080332905	0.268924782	5.89E-05	0.00225713	1.003412721
FDFT1	261.0458104	-0.679172165	0.150848211	6.72E-06	-0.838578978	0.153248807	4.45E-08	5.16E-06	-0.758875572
FEZ1	70.43232516	1.124546081	0.215602271	1.83E-07	0.968579036	0.218674482	9.45E-06	0.00048801	1.046562559
FGF14	15.81657061	1.272350957	0.31381344	5.02E-05	1.108976129	0.315234479	0.00043491	0.011770244	1.190663543
FGF9	42.13724513	1.141915139	0.248056207	4.16E-06	1.086867497	0.25082274	1.47E-05	0.000713272	1.114391318
FHIT	13.88359237	0.910421979	0.315742992	0.003933734	0.908921661	0.316705348	0.004105648	0.061938416	0.90967182
FLRT3	70.02106489	1.829352306	0.238638565	1.78E-14	1.62434836	0.241168194	1.64E-11	4.56E-09	1.726850333
FNBP1L	320.0902862	0.483293369	0.1462801	0.000953532	0.506561231	0.147290571	0.000583443	0.01459589	0.4949273
FNDC5	87.60231684	-1.26870895	0.183147162	4.29E-12	-0.960024001	0.183698407	1.73E-07	1.64E-05	-1.114366476
FOXN2	107.8241571	-0.832552292	0.173058772	1.50E-06	-0.736026461	0.175397588	2.71E-05	0.001187617	-0.784289377
FOXP2	50.67312107	-0.774142327	0.234497206	0.000962427	-0.92857554	0.239331011	0.000104508	0.003689178	-0.851358933
FSTL1	74.63711085	-1.828796802	0.212655471	7.98E-18	-1.606444086	0.214266103	6.51E-14	2.91E-11	-1.717620444
FTL	1202.115052	-0.45233991	0.121064155	0.000186699	-0.37388757	0.121430576	0.002076805	0.03754644	-0.41311374
FXYD6	57.59938661	1.261842149	0.235905588	8.85E-08	1.236487084	0.238126028	2.07E-07	1.89E-05	1.249164616
G3BP1	142.775274	-0.600893045	0.156997874	0.000129506	-0.67181185	0.160220965	2.75E-05	0.001199146	-0.636352447
GABARAP	1154.372818	-0.635183046	0.121632476	1.77E-07	-0.445731871	0.121878115	0.000254992	0.007693686	-0.540457458
GAP43	1386.711304	0.597080653	0.116987951	3.33E-07	0.741503951	0.11719296	2.50E-10	5.57E-08	0.669292302
GAS2L3	19.03237544	-0.939565109	0.2994924	0.001705745	-1.50713381	0.306424335	8.72E-07	6.33E-05	-1.22334946
GFPT1	127.3564699	0.732143728	0.191502489	0.000131755	0.811970628	0.192768631	2.53E-05	0.001123929	0.772057178
GHITM	626.7831353	-0.479061862	0.116517749	3.93E-05	-0.449260117	0.117378212	0.000129474	0.004413473	-0.464160989
GJA1	51.29407804	-1.156769913	0.227043519	3.49E-07	-0.897895109	0.228158952	8.31E-05	0.003065352	-1.027332511
GLIPR2	29.30535743	-0.928308505	0.262353172	0.000402571	-0.735832292	0.264171491	0.00534561	0.073991161	-0.832070399
GLRA2	18.86831902	1.029547672	0.296856333	0.000524019	1.079043731	0.298647991	0.000302563	0.008888787	1.054295701
GLUL	158.2625415	-0.677951765	0.158987703	2.01E-05	-0.508000417	0.160267109	0.001525906	0.02995136	-0.592976091
GMNN	38.38128691	-1.163196574	0.243997218	1.87E-06	-0.738018142	0.243209304	0.002409364	0.041877894	-0.950607358
GNAS	1030.583979	-0.539590965	0.128806346	2.80E-05	-0.389667493	0.12910869	0.002543353	0.043431529	-0.464629229
GNB2L1	1202.18362	-0.433291059	0.142283983	0.002324828	-0.435280671	0.1426601	0.002279491	0.040075058	-0.434285865
GNG2	418.200866	0.541277954	0.140524975	0.00011724	0.674363484	0.141078907	1.75E-06	0.000117685	0.607820719
GNG3	103.4726583	0.580736892	0.180405517	0.001286098	0.74788819	0.181616457	3.82E-05	0.00158122	0.664312541
GNG5	79.47967342	-0.601948658	0.186036642	0.001213679	-0.951451943	0.193269863	8.53E-07	6.26E-05	-0.776700301
GNL3	225.0307159	-0.506688912	0.134479348	0.000164704	-0.405824762	0.135985875	0.002842135	0.047180497	-0.456256837
GNS	317.9815877	-0.534102939	0.141338033	0.00015752	-0.5788332	0.14294325	5.14E-05	0.002029271	-0.55646807
GPC4	33.77166024	-1.120406521	0.261422523	1.82E-05	-1.175743564	0.265818348	9.73E-06	0.000499369	-1.148075042
GPM6A	319.5064676	1.810849179	0.165847143	9.37E-28	1.122645231	0.168182951	2.47E-11	6.30E-09	1.466747205
GPM6B	922.0445982	-0.649732479	0.108055853	1.82E-09	-0.5896247	0.108673272	5.77E-08	6.29E-06	-0.61967859
GPR85	36.08522044	1.827180173	0.266978653	7.71E-12	1.212664513	0.272654457	8.68E-06	0.000450835	1.519922343
GRIA4	21.77649564	1.60303688	0.298280819	7.69E-08	1.44545575	0.300652682	1.53E-06	0.000104075	1.524246315
GSTP1	194.3928096	-1.064118931	0.164078803	8.85E-11	-0.899668423	0.165254172	5.21E-08	5.81E-06	-0.981893677
H2AFZ	1253.970261	-0.685432348	0.115765948	3.20E-09	-0.656975848	0.116234517	1.58E-08	1.99E-06	-0.671204098
HADHB	87.74941611	-0.652533703	0.190678713	0.00062125	-0.572058001	0.193093792	0.003050613	0.049748374	-0.612295852
HDAC1	30.0129542	-1.012857976	0.261421116	0.000106874	-0.828389772	0.263329357	0.001656154	0.0318774	-0.920623874
HECA	62.31383076	0.718836101	0.227246985	0.001560252	0.733369899	0.22936822	0.001386977	0.028000627	0.726103
HELLS	39.88247865	-0.915543999	0.247534711	0.00021675	-1.136554035	0.253543515	7.37E-06	0.000400994	-1.026049017
HES6	101.2509954	-1.491337711	0.172338997	4.99E-18	-1.46292403	0.176302368	1.06E-16	7.29E-14	-1.477130871
HESX1	13.4479488	-1.092438801	0.305919645	0.000355622	-1.145622834	0.309135771	0.000210651	0.006647776	-1.119030818
HIGD1A	800.6627849	-0.73984624	0.123699486	2.22E-09	-0.493136366	0.123940838	6.93E-05	0.002621122	-0.616491303
HINT3	53.79369369	0.859408678	0.244700475	0.000444607	0.751433869	0.247349421	0.002381976	0.041549671	0.805421273
HMGB1	1842.010449	-0.462193034	0.131257929	0.000429504	-0.501316847	0.131565247	0.000138739	0.004640756	-0.481754941
HMGCS1	923.0328927	-0.315894541	0.122263681	0.009774245	-0.743798465	0.123598987	1.77E-09	3.18E-07	-0.529846503
HMGN3	175.8856243	-0.684579316	0.159612934	1.79E-05	-0.616338073	0.161390337	0.000134033	0.004517161	-0.650458694
HMMR	65.4475273	-0.871652509	0.226961684	0.00012277	-0.751403389	0.228950475	0.001030929	0.022239674	-0.811527949
HMP19	42.27251961	0.728830136	0.255842871	0.004389256	1.077498067	0.255940291	2.55E-05	0.001129273	0.903164102
HNRNPA1	1424.14822	-0.313252358	0.108906597	0.004023166	-0.443646641	0.109506611	5.09E-05	0.002029271	-0.378449499
HNRNPH1	461.3247766	-0.36974166	0.126811817	0.003549235	-0.458283279	0.12818645	0.000350053	0.009893437	-0.41401247
HS6ST2	17.17847431	1.168555803	0.299221108	9.41E-05	0.846263198	0.303015621	0.005225336	0.072917937	1.007409501
HS6ST3	26.19391441	1.252888562	0.282329757	9.09E-06	1.068412547	0.285516296	0.000182535	0.005879972	1.160650555
HSPD1	1070.044077	-0.473620754	0.137673726	0.000581353	-0.422479495	0.138054063	0.002211547	0.039267053	-0.448050124
HSPE1	693.3726666	-0.474836402	0.115066987	3.68E-05	-0.450825606	0.115869834	9.99E-05	0.003541103	-0.462831004
IDH1	1008.388527	-0.378418339	0.098001151	0.000112755	-0.466587735	0.098884789	2.38E-06	0.000152657	-0.422503037
IDI1	878.6041752	-0.640109901	0.134681703	2.01E-06	-0.761742902	0.135474106	1.88E-08	2.33E-06	-0.700926401
IFITM1	31.66111029	-1.03323761	0.260364252	7.23E-05	-0.751602442	0.261189601	0.004006971	0.060860983	-0.892420026
IGDCC3	229.2049713	-1.018803664	0.143562277	1.28E-12	-0.642421785	0.143499458	7.58E-06	0.000407607	-0.830612725
IGF2BP3	68.94505855	-1.097737285	0.220124599	6.14E-07	-0.791916567	0.220631687	0.000331548	0.009551801	-0.944826926
IMPAD1	98.20503164	-0.632505902	0.183615613	0.000571634	-0.646506941	0.18674164	0.000536098	0.013877956	-0.639506421
INA	302.3279252	0.504739717	0.147957545	0.000646345	0.681450154	0.148535533	4.48E-06	0.000263205	0.593094936
INSIG1	47.57662824	-0.688715827	0.242820258	0.004563677	-0.653129345	0.245605814	0.007831286	0.097140572	-0.670922586
IRF2BP2	141.0499162	-0.653869858	0.155634617	2.65E-05	-0.50389884	0.1572535	0.001353571	0.027474411	-0.578884349
KCNQ2	14.92017765	-1.139765312	0.304001086	0.000177389	-1.057959407	0.306165531	0.000549244	0.01406523	-1.09886236
KCNQ3	18.66154137	1.034586682	0.30181764	0.000608373	0.851591623	0.304363554	0.005142932	0.072219379	0.943089152
KIAA0020	124.6313402	-0.614637188	0.172522003	0.000367116	-0.497920814	0.174285666	0.004277689	0.063083622	-0.556279001
